adjustment_id,payroll_run_id,employee_id,adjustment_type,amount,reason,source
ADJ_202604_EMP028_OTHER,PAYROLL_202604,EMP028,其他,-321.84,Excel总工资表补发扣,202604工资表
ADJ_202604_EMP051_OTHER,PAYROLL_202604,EMP051,其他,-1680.0,Excel总工资表补发扣,202604工资表
ADJ_202604_EMP052_OTHER,PAYROLL_202604,EMP052,其他,-900.0,Excel总工资表补发扣,202604工资表
ADJ_202604_EMP089_OTHER,PAYROLL_202604,EMP089,其他,2298.85,Excel总工资表补发扣,202604工资表
ADJ_202604_EMP096_OTHER,PAYROLL_202604,EMP096,其他,-160.92,Excel总工资表补发扣,202604工资表
ADJ_202604_EMP133_OTHER,PAYROLL_202604,EMP133,其他,-804.6,Excel总工资表补发扣,202604工资表
